month	channel	sessions	leads	cost_eur	conversion_rate_pct	avg_session_duration_sec
2025-04	Organic Search	18420	312	0	1.69	142
2025-04	Google Ads	9840	228	4200	2.32	98
2025-04	Email Newsletter	5210	189	180	3.63	165
2025-04	LinkedIn Organic	3140	42	0	1.34	87
2025-04	LinkedIn Ads	2980	68	1850	2.28	94
2025-04	Direct	7420	118	0	1.59	178
2025-05	Organic Search	19850	348	0	1.75	148
2025-05	Google Ads	10240	251	4400	2.45	102
2025-05	Email Newsletter	5680	212	195	3.73	170
2025-05	LinkedIn Organic	3320	48	0	1.45	89
2025-05	LinkedIn Ads	3140	74	1920	2.36	96
2025-05	Direct	7890	128	0	1.62	182
2025-06	Organic Search	21240	389	0	1.83	153
2025-06	Google Ads	10780	278	4650	2.58	105
2025-06	Email Newsletter	6120	238	210	3.89	174
2025-06	LinkedIn Organic	3580	55	0	1.54	92
2025-06	LinkedIn Ads	3290	82	1980	2.49	98
2025-06	Direct	8240	134	0	1.63	186
2025-07	Organic Search	22640	418	0	1.85	156
2025-07	Google Ads	11420	294	4820	2.57	108
2025-07	Email Newsletter	6480	256	225	3.95	178
2025-07	LinkedIn Organic	3820	61	0	1.6	95
2025-07	LinkedIn Ads	3480	89	2040	2.56	101
2025-07	Direct	8620	139	0	1.61	189
2025-08	Organic Search	21890	412	0	1.88	154
2025-08	Google Ads	11180	289	4780	2.58	107
2025-08	Email Newsletter	6320	251	220	3.97	176
2025-08	LinkedIn Organic	3740	58	0	1.55	93
2025-08	LinkedIn Ads	3420	86	2010	2.51	99
2025-08	Direct	8480	136	0	1.6	187
2025-09	Organic Search	24120	468	0	1.94	161
2025-09	Google Ads	12480	328	5120	2.63	112
2025-09	Email Newsletter	6840	278	235	4.06	182
2025-09	LinkedIn Organic	4120	68	0	1.65	98
2025-09	LinkedIn Ads	3680	96	2150	2.61	103
2025-09	Direct	9020	148	0	1.64	193
2025-10	Organic Search	28450	562	0	1.98	165
2025-10	Google Ads	15280	412	6240	2.7	118
2025-10	Email Newsletter	7920	342	265	4.32	189
2025-10	LinkedIn Organic	4680	84	0	1.79	104
2025-10	LinkedIn Ads	4240	118	2480	2.78	108
2025-10	Direct	10240	178	0	1.74	201
2025-11	Organic Search	32180	648	0	2.01	168
2025-11	Google Ads	17840	492	7180	2.76	122
2025-11	Email Newsletter	8640	389	285	4.5	194
2025-11	LinkedIn Organic	5120	98	0	1.91	108
2025-11	LinkedIn Ads	4720	138	2680	2.92	112
2025-11	Direct	11280	201	0	1.78	206
2025-12	Organic Search	35420	728	0	2.05	172
2025-12	Google Ads	19620	564	7920	2.87	126
2025-12	Email Newsletter	9420	438	310	4.65	198
2025-12	LinkedIn Organic	5640	114	0	2.02	112
2025-12	LinkedIn Ads	5180	158	2890	3.05	116
2025-12	Direct	12180	224	0	1.84	210
2026-01	Organic Search	30240	602	0	1.99	166
2026-01	Google Ads	16480	438	6680	2.66	120
2026-01	Email Newsletter	8120	358	275	4.41	191
2026-01	LinkedIn Organic	4920	92	0	1.87	106
2026-01	LinkedIn Ads	4480	128	2540	2.86	110
2026-01	Direct	10620	189	0	1.78	204
2026-02	Organic Search	28680	548	0	1.91	162
2026-02	Google Ads	15240	398	6320	2.61	116
2026-02	Email Newsletter	7680	328	260	4.27	186
2026-02	LinkedIn Organic	4520	82	0	1.81	102
2026-02	LinkedIn Ads	4180	118	2440	2.82	107
2026-02	Direct	9840	168	0	1.71	198
2026-03	Organic Search	30580	612	0	2	168
2026-03	Google Ads	16240	432	6580	2.66	120
2026-03	Email Newsletter	8040	358	272	4.45	192
2026-03	LinkedIn Organic	4820	90	0	1.87	106
2026-03	LinkedIn Ads	4380	128	2560	2.92	111
2026-03	Direct	10380	184	0	1.77	203
